DateTime,Players,Final Price,DateTimeStr
1/1/2017 0:00,30547,604.5,"Sunday, January 1, 2017"
1/2/2017 0:00,34504,1209,"Monday, January 2, 2017"
1/3/2017 0:00,30129,1209,"Tuesday, January 3, 2017"
1/4/2017 0:00,28738,1209,"Wednesday, January 4, 2017"
1/5/2017 0:00,28180,1209,"Thursday, January 5, 2017"
1/6/2017 0:00,30472,1209,"Friday, January 6, 2017"
1/7/2017 0:00,33358,1209,"Saturday, January 7, 2017"
1/8/2017 0:00,31922,1209,"Sunday, January 8, 2017"
1/9/2017 0:00,25360,1209,"Monday, January 9, 2017"
1/10/2017 0:00,24998,1209,"Tuesday, January 10, 2017"
1/11/2017 0:00,24388,1209,"Wednesday, January 11, 2017"
1/12/2017 0:00,24502,1209,"Thursday, January 12, 2017"
1/13/2017 0:00,27802,1209,"Friday, January 13, 2017"
1/14/2017 0:00,31686,1209,"Saturday, January 14, 2017"
1/15/2017 0:00,31564,1209,"Sunday, January 15, 2017"
1/16/2017 0:00,28007,1209,"Monday, January 16, 2017"
1/17/2017 0:00,25030,1209,"Tuesday, January 17, 2017"
1/18/2017 0:00,25516,1209,"Wednesday, January 18, 2017"
1/19/2017 0:00,24352,1209,"Thursday, January 19, 2017"
1/20/2017 0:00,26784,1209,"Friday, January 20, 2017"
1/21/2017 0:00,30426,1209,"Saturday, January 21, 2017"
1/22/2017 0:00,30774,1209,"Sunday, January 22, 2017"
1/23/2017 0:00,24019,1209,"Monday, January 23, 2017"
1/24/2017 0:00,23687,1209,"Tuesday, January 24, 2017"
1/25/2017 0:00,23785,1209,"Wednesday, January 25, 2017"
1/26/2017 0:00,23197,1209,"Thursday, January 26, 2017"
1/27/2017 0:00,25771,1209,"Friday, January 27, 2017"
1/28/2017 0:00,29299,1209,"Saturday, January 28, 2017"
1/29/2017 0:00,30507,1209,"Sunday, January 29, 2017"
1/30/2017 0:00,24139,1209,"Monday, January 30, 2017"
1/31/2017 0:00,23790,1209,"Tuesday, January 31, 2017"
2/1/2017 0:00,23820,1209,"Wednesday, February 1, 2017"
2/2/2017 0:00,27697,604.5,"Thursday, February 2, 2017"
2/3/2017 0:00,42394,604.5,"Friday, February 3, 2017"
2/4/2017 0:00,59199,604.5,"Saturday, February 4, 2017"
2/5/2017 0:00,65010,604.5,"Sunday, February 5, 2017"
2/6/2017 0:00,41778,1209,"Monday, February 6, 2017"
2/7/2017 0:00,46259,1209,"Tuesday, February 7, 2017"
2/8/2017 0:00,52115,1209,"Wednesday, February 8, 2017"
2/9/2017 0:00,43122,1209,"Thursday, February 9, 2017"
2/10/2017 0:00,48865,1209,"Friday, February 10, 2017"
2/11/2017 0:00,54908,1209,"Saturday, February 11, 2017"
2/12/2017 0:00,52661,1209,"Sunday, February 12, 2017"
2/13/2017 0:00,39276,1209,"Monday, February 13, 2017"
2/14/2017 0:00,37869,1209,"Tuesday, February 14, 2017"
2/15/2017 0:00,38708,1209,"Wednesday, February 15, 2017"
2/16/2017 0:00,36699,1209,"Thursday, February 16, 2017"
2/17/2017 0:00,41646,1209,"Friday, February 17, 2017"
2/18/2017 0:00,48737,1209,"Saturday, February 18, 2017"
2/19/2017 0:00,44002,1209,"Sunday, February 19, 2017"
2/20/2017 0:00,36401,1209,"Monday, February 20, 2017"
2/21/2017 0:00,35515,1209,"Tuesday, February 21, 2017"
2/22/2017 0:00,35279,449,"Wednesday, February 22, 2017"
2/23/2017 0:00,32482,449,"Thursday, February 23, 2017"
2/24/2017 0:00,36744,449,"Friday, February 24, 2017"
2/25/2017 0:00,44197,449,"Saturday, February 25, 2017"
2/26/2017 0:00,43672,449,"Sunday, February 26, 2017"
2/27/2017 0:00,35329,449,"Monday, February 27, 2017"
2/28/2017 0:00,34951,449,"Tuesday, February 28, 2017"
3/1/2017 0:00,34112,449,"Wednesday, March 1, 2017"
3/2/2017 0:00,33415,449,"Thursday, March 2, 2017"
3/3/2017 0:00,37172,449,"Friday, March 3, 2017"
3/4/2017 0:00,45103,449,"Saturday, March 4, 2017"
