Id,Players,Final Price,DateTime
1,30547,604.5,1/1/2017
2,34504,1209,1/2/2017
3,30129,1209,1/3/2017
4,28738,1209,1/4/2017
5,28180,1209,1/5/2017
6,30472,1209,1/6/2017
7,33358,1209,1/7/2017
8,31922,1209,1/8/2017
9,25360,1209,1/9/2017
10,24998,1209,1/10/2017
11,24388,1209,1/11/2017
12,24502,1209,1/12/2017
13,27802,1209,1/13/2017
14,31686,1209,1/14/2017
15,31564,1209,1/15/2017
16,28007,1209,1/16/2017
17,25030,1209,1/17/2017
18,25516,1209,1/18/2017
19,24352,1209,1/19/2017
20,26784,1209,1/20/2017
21,30426,1209,1/21/2017
22,30774,1209,1/22/2017
23,24019,1209,1/23/2017
24,23687,1209,1/24/2017
25,23785,1209,1/25/2017
26,23197,1209,1/26/2017
27,25771,1209,1/27/2017
28,29299,1209,1/28/2017
29,30507,1209,1/29/2017
30,24139,1209,1/30/2017
31,23790,1209,1/31/2017
32,23820,1209,2/1/2017
33,27697,604.5,2/2/2017
34,42394,604.5,2/3/2017
35,59199,604.5,2/4/2017
36,65010,604.5,2/5/2017
37,41778,1209,2/6/2017
38,46259,1209,2/7/2017
39,52115,1209,2/8/2017
40,43122,1209,2/9/2017
41,48865,1209,2/10/2017
42,54908,1209,2/11/2017
43,52661,1209,2/12/2017
44,39276,1209,2/13/2017
45,37869,1209,2/14/2017
46,38708,1209,2/15/2017
47,36699,1209,2/16/2017
48,41646,1209,2/17/2017
49,48737,1209,2/18/2017
50,44002,1209,2/19/2017
51,36401,1209,2/20/2017
52,35515,1209,2/21/2017
53,35279,449,2/22/2017
54,32482,449,2/23/2017
55,36744,449,2/24/2017
56,44197,449,2/25/2017
57,43672,449,2/26/2017
58,35329,449,2/27/2017
59,34951,449,2/28/2017
60,34112,449,3/1/2017
61,33415,449,3/2/2017
62,37172,449,3/3/2017
63,45103,449,3/4/2017
64,41238,449,3/5/2017
65,29423,449,3/6/2017
66,29255,449,3/7/2017
67,30634,449,3/8/2017
68,30430,449,3/9/2017
69,38095,449,3/10/2017
70,44651,449,3/11/2017
71,40452,449,3/12/2017
72,30873,449,3/13/2017
73,32476,449,3/14/2017
74,36149,449,3/15/2017
75,32022,449,3/16/2017
76,38519,449,3/17/2017
77,46984,449,3/18/2017
78,44089,449,3/19/2017
79,30988,449,3/20/2017
80,20325,449,3/21/2017
81,15442,449,3/22/2017
82,29319,449,3/23/2017
83,37241,449,3/24/2017
84,47655,449,3/25/2017
85,45447,449,3/26/2017
86,35486,449,3/27/2017
87,31674,449,3/28/2017
88,38388,449,3/29/2017
89,35049,449,3/30/2017
90,38028,449,3/31/2017
91,46815,449,4/1/2017
92,45794,449,4/2/2017
93,36881,449,4/3/2017
94,32982,449,4/4/2017
95,35431,449,4/5/2017
96,34701,449,4/6/2017
97,38788,449,4/7/2017
98,45283,449,4/8/2017
99,40663,449,4/9/2017
100,31869,449,4/10/2017
101,33368,449,4/11/2017
102,31830,449,4/12/2017
103,33275,449,4/13/2017
104,41249,449,4/14/2017
105,41408,449,4/15/2017
106,35431,449,4/16/2017
107,33931,449,4/17/2017
108,30520,449,4/18/2017
109,31243,449,4/19/2017
110,34123,449,4/20/2017
111,41322,449,4/21/2017
112,43843,449,4/22/2017
113,41425,449,4/23/2017
114,32632,449,4/24/2017
115,31724,449,4/25/2017
116,31812,449,4/26/2017
117,27318,449,4/27/2017
118,38046,449,4/28/2017
119,40762,449,4/29/2017
120,39098,449,4/30/2017
121,34663,449,5/1/2017
122,29560,449,5/2/2017
123,32770,449,5/3/2017
124,31659,449,5/4/2017
125,36446,449,5/5/2017
126,41734,449,5/6/2017
127,38679,449,5/7/2017
128,32644,449,5/8/2017
129,32496,449,5/9/2017
130,32427,449,5/10/2017
131,31080,449,5/11/2017
132,38553,449,5/12/2017
