DateTime,Players,Final Price,DateTimeStr
1/1/2018 0:00,87474,209.4,01/01/2018
1/2/2018 0:00,90574,209.4,01/02/2018
1/3/2018 0:00,88547,209.4,01/03/2018
1/4/2018 0:00,92955,349,01/04/2018
1/5/2018 0:00,102587,349,01/05/2018
1/6/2018 0:00,109318,349,01/06/2018
1/7/2018 0:00,102226,349,01/07/2018
1/8/2018 0:00,80542,349,01/08/2018
1/9/2018 0:00,78834,349,01/09/2018
1/10/2018 0:00,80999,349,01/10/2018
1/11/2018 0:00,79497,349,01/11/2018
1/12/2018 0:00,91391,349,01/12/2018
1/13/2018 0:00,107452,349,01/13/2018
1/14/2018 0:00,97520,349,01/14/2018
1/15/2018 0:00,79231,349,01/15/2018
1/16/2018 0:00,77053,349,01/16/2018
1/17/2018 0:00,79287,349,01/17/2018
1/18/2018 0:00,79366,349,01/18/2018
1/19/2018 0:00,88238,349,01/19/2018
1/20/2018 0:00,100428,349,01/20/2018
1/21/2018 0:00,94972,349,01/21/2018
1/22/2018 0:00,85102,349,01/22/2018
1/23/2018 0:00,71072,349,01/23/2018
1/24/2018 0:00,82543,349,01/24/2018
1/25/2018 0:00,82954,349,01/25/2018
1/26/2018 0:00,85414,349,01/26/2018
1/27/2018 0:00,96554,349,01/27/2018
1/28/2018 0:00,95701,349,01/28/2018
1/29/2018 0:00,74595,349,01/29/2018
1/30/2018 0:00,80850,349,01/30/2018
1/31/2018 0:00,77290,349,01/31/2018
2/1/2018 0:00,80086,349,02/01/2018
2/2/2018 0:00,89437,349,02/02/2018
2/3/2018 0:00,99612,349,02/03/2018
2/4/2018 0:00,99184,349,02/04/2018
2/5/2018 0:00,77394,349,02/05/2018
2/6/2018 0:00,79990,349,02/06/2018
2/7/2018 0:00,85371,349,02/07/2018
2/8/2018 0:00,81674,349,02/08/2018
2/9/2018 0:00,88099,349,02/09/2018
2/10/2018 0:00,98058,349,02/10/2018
2/11/2018 0:00,99128,349,02/11/2018
2/12/2018 0:00,82961,349,02/12/2018
2/13/2018 0:00,82384,349,02/13/2018
2/14/2018 0:00,76498,349,02/14/2018
2/15/2018 0:00,83156,349,02/15/2018
2/16/2018 0:00,97797,349,02/16/2018
2/17/2018 0:00,116140,349,02/17/2018
2/18/2018 0:00,125454,349,02/18/2018
2/19/2018 0:00,99430,349,02/19/2018
2/20/2018 0:00,96798,349,02/20/2018
2/21/2018 0:00,96344,349,02/21/2018
2/22/2018 0:00,94184,349,02/22/2018
2/23/2018 0:00,110336,349,02/23/2018
2/24/2018 0:00,121054,349,02/24/2018
2/25/2018 0:00,119290,349,02/25/2018
2/26/2018 0:00,97181,349,02/26/2018
2/27/2018 0:00,100533,349,02/27/2018
2/28/2018 0:00,103176,349,02/28/2018
3/1/2018 0:00,106002,349,03/01/2018
3/2/2018 0:00,119563,349,03/02/2018
3/3/2018 0:00,133106,349,03/03/2018
3/4/2018 0:00,123702,349,03/04/2018
3/5/2018 0:00,101042,349,03/05/2018
3/6/2018 0:00,117007,349,03/06/2018
3/7/2018 0:00,176784,349,03/07/2018
3/8/2018 0:00,153274,349,03/08/2018
3/9/2018 0:00,162181,349,03/09/2018
3/10/2018 0:00,178953,349,03/10/2018
3/11/2018 0:00,161990,349,03/11/2018
3/12/2018 0:00,123333,349,03/12/2018
3/13/2018 0:00,123552,349,03/13/2018
3/14/2018 0:00,110788,349,03/14/2018
3/15/2018 0:00,118957,349,03/15/2018
3/16/2018 0:00,138714,349,03/16/2018
3/17/2018 0:00,152188,349,03/17/2018
3/18/2018 0:00,139913,349,03/18/2018
3/19/2018 0:00,92766,349,03/19/2018
3/20/2018 0:00,100055,349,03/20/2018
3/21/2018 0:00,113768,349,03/21/2018
